source,rating,text,date,order_type,meal_type,price_per_person,food_rating,service_rating,atmosphere_rating,recommended_dishes,wait_time,user_location,user_reviews,user_elite,feedback_useful,feedback_funny,feedback_cool
Google,4.0,"Enjoyed the small bowl of Seafood Tom Kha Kai Soup & it was delicious! Expressed curiosity regarding fresh spring rolls but none happening here. Perhaps if more customers requested them it might become an item? Until then it's all deep fried. Prices so good that it's easy to get TIPsy and pay the love forward. Atmosphere chill, service was inviting, prompt, and genuine.",2019-10-02T02:12:08Z,,,,,,,,,,,,,,
Google,2.0,"Wow, I don't get 🙄 how this place ranked more stars? If the food were exceptional then I could justify the cost. It's a bit too pricey for what you get and I got 3 little skewers with thin strips of 🐔 chicken. Sorry, will not go there again.",2018-01-26T03:51:26Z,,,,,,,,,,,,,,
Google,4.0,"Great food at decent prices. Took a chance on this local Thai eatery and was not disappointed. Favorites include the Tom Yoon Goung soup, Red Curry, and Mongolian beef. Parking around the spot is a little cramped but ample parking on the street and in shopping complex across the street.",2020-04-13T01:56:44Z,,,,,,,,,,,,,,
Google,5.0,"I dont get tired of this place Jenny is the owner and she cooks as orders. Very fresh and delicious. Always order to go when we dont want to cokk over the weekend. It's a small bussiness for what you have to be patient and since everything is made as order it might take a good 20min to be made. Love the Pad Thai Chicken, combination fried rice, glass noodles soup (chicken) but it comes also with shrimp, chicken satay is delis with their peanut sauce and a side salad, also for the little ones the love their orange chicken and beef brocoli( as normal) You got to give it a try. We are regulars and the consistency in the food and service have been lithe same for the past 5yrs since we've been coming. Highly recommended.",2017-10-15T04:02:16Z,,,,,,,,,,,,,,
Google,5.0,They never disappoint! Food is sooo good! Not too greasy like some Thai places. Great friendly service. Its the only place we get carry out from. The best Thai food in town. We eat here a lot,2018-01-14T03:46:29Z,,,,,,,,,,,,,,
Google,5.0,"Food was great and the customer service is the best I have experienced in a long time. The online system got one of my orders wrong. When I called to let them know, they did not hesitate to make things wright. Thank you for the amazing food and service.👍👍🙏🙏",2020-12-19T02:35:38Z,,,,,,,,,,,,,,
Google,1.0,"TERRIBLE! I got the Pad See Ew with Beef and Shrimp My Gawd! Worst Pad See Ew I've had IN MY LIFE! Everything tasted old.. The noodles were dry and flavorless.. the beef was dry and chewy.. the 3 shrimp I paid an extra $2 for must have been old.. because it was Extra Fishy I just had Really good Pad 2 nights before, so I was excited to try it at another place... Boy do I regret that. I also got the ""Dynamite"" Chicken Wings There was surely nothing ""Dynamite"" about them! They taste like Yoshinoya's chicken wings, just as small, yet in a more watery spicier sauce. All around Epic Fail! This just goes to show You Can't Trust People's Reviews I could have went to at least 2 other nearby Thai places.. where I'm sure things couldn't have been any worse.. But this one had the highest rating. (face palm) Not to mention, I asked for chopsticks from the boy at the register, his reply was ""I put two forks in the bag"".. . Forks and Chopsticks are Apparently the Same Thing Everybody! You learn something new everyday! Also the ambiance is more that of a Pizza Parlor than what the pics would lead you to believe, not that it's a bad thing. I gave it a 1 in hopes to even out this stupidly high score of theirs, it was really more of a 2. It didn't appear dirty, in the front at least, and the order was done quickly. Largely cuz no one was there... $23 down the drain I won't be back",2019-05-25T22:29:39Z,,,,,,,,,,,,,,
Google,1.0,Were to start. The food was tasteless and the service bad . Even when ordering for take out they said wait was 20 min and they took 40 . There was 2 customers who came after me and they got there food first . While i was still waiting . Dont recomend it . Curry was bitter and taste less . Friend rice was more like white rice. Its up to you if ud like to waste your money here.,2019-10-26T02:10:18Z,,,,,,,,,,,,,,
Google,5.0,My favorite Thai Restaurant since 2005. Every plate is freshly prepared. The flavor is incomparable. The amount of ingredients in each plate is perfectly balanced.,2022-06-09T00:32:29Z,Take out,Dinner,$10–20,5.0,5.0,5.0,,,,,,,,
Google,5.0,"Came in for some much needed Pad Thai, and I ordered it a la carte, only had about $8 and change on my person. So I order and take a seat, (place is completely empty mind you, not a bad thing AT ALL) and the gentleman pleasantly sets down a small cup of chicken soup, it is LITERALLY tickling the most elegant areas of my olfactory system, (aka my nasal passage ha ha)! This is a surprise to me, (rememeber me ordering a la carte?) and even more so when he brought a lunch special plate, chock full of delicious (and crunchy!) pot stickers, salad, a nice mound of rice and my Pad Thai...JACKPOT! I will DEFINITELY be back, not to expect another free lunch special, but because they were kind enough to offer, and the food was EXCELLENT.",2018-05-10T20:23:26Z,,,,,,,,,,,,,,
